activity_labels	subject	1 tBodyAcc-mean()-X	2 tBodyAcc-mean()-Y	3 tBodyAcc-mean()-Z	240 tBodyGyroMag-mean()	253 tBodyGyroJerkMag-mean()	552 fBodyBodyGyroJerkMag-meanFreq()	41 tGravityAcc-mean()-X	542 fBodyBodyGyroJerkMag-mean()	227 tBodyAccJerkMag-mean()	162 tBodyGyroJerk-mean()-Y	42 tGravityAcc-mean()-Y	163 tBodyGyroJerk-mean()-Z	201 tBodyAccMag-mean()	43 tGravityAcc-mean()-Z	214 tGravityAccMag-mean()	81 tBodyAccJerk-mean()-X	82 tBodyAccJerk-mean()-Y	161 tBodyGyroJerk-mean()-X	83 tBodyAccJerk-mean()-Z	121 tBodyGyro-mean()-X	122 tBodyGyro-mean()-Y	123 tBodyGyro-mean()-Z
3 WALKING_DOWNSTAIRS	13	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94
3 WALKING_DOWNSTAIRS	18	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110
3 WALKING_DOWNSTAIRS	20	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90
3 WALKING_DOWNSTAIRS	24	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110
4 SITTING	2	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92
4 SITTING	4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
4 SITTING	9	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
4 SITTING	10	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108
4 SITTING	12	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102
4 SITTING	13	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98
4 SITTING	18	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114
4 SITTING	20	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132
4 SITTING	24	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136
5 STANDING	2	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108
5 STANDING	4	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112
5 STANDING	9	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90
5 STANDING	10	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88
5 STANDING	12	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122
5 STANDING	13	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114
5 STANDING	18	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146
5 STANDING	20	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146
5 STANDING	24	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138
6 LAYING	2	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96
6 LAYING	4	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108
6 LAYING	9	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
6 LAYING	10	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116
6 LAYING	12	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120
6 LAYING	13	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124
6 LAYING	18	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130
6 LAYING	20	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136
6 LAYING	24	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144

